run_id,likelihood,seed,temperature,label_noise,_step,_runtime,_timestamp,csgld/test/acc,csgld/test/bma_ce_nll,csgld/test/total_loss,csgld/train/mini_loss,_wandb,csgld/train/epoch,csgld/test/bma_acc,csgld/test/bma_nll,csgld/train/mini_idx,noise
hc2v3hy4,softmax,-2,10.0,0.5,1000,20891,1643801983,0.2977,19710.576171875,20007.177734375,116632.1171875,{'runtime': 20892},999,0.4161,0.0,350,
10nrjs48,softmax,-2,3.0,0.5,1000,20857,1643801901,0.4965,16037.20703125,16037.4677734375,98921.234375,{'runtime': 20858},999,0.5696,0.0,350,
3zo8k1nh,softmax,-2,1e-05,0.5,1000,20758,1643801796,0.5479,18407.365234375,19074.44140625,13645.6494140625,{'runtime': 20760},999,0.5905,0.0,350,
nlj4td1c,softmax,-2,0.0001,0.5,1000,20814,1643801843,0.5412,18567.708984375,19564.365234375,15520.5068359375,{'runtime': 20815},999,0.5852,0.0,350,
3ue58cpf,softmax,-2,0.001,0.5,1000,20970,1643801956,0.5446,17666.8125,18580.3203125,19403.029296875,{'runtime': 20971},999,0.599,0.0,350,
etafyz0s,softmax,-2,0.01,0.5,1000,20630,1643801616,0.559,15425.52734375,16207.48046875,24173.412109375,{'runtime': 20631},999,0.6266,0.0,350,
2uula67u,softmax,-2,0.1,0.5,1000,20988,1643801867,0.7953,9903.2275390625,9861.6103515625,98447.59375,{'runtime': 20990},999,0.8218,0.0,350,
4r78rbzx,softmax,-2,1.0,0.5,1000,20848,1643801698,0.6428,13102.9794921875,13005.396484375,95846.796875,{'runtime': 20849},999,0.6932,0.0,350,
9qanq79m,softmax,-1,10.0,0.5,1000,20842,1643801673,0.3162,19797.763671875,19477.013671875,114382.7421875,{'runtime': 20843},999,0.4147,0.0,350,
5tjmlpc8,softmax,-1,3.0,0.5,1000,20875,1643801657,0.5014,16155.5693359375,15960.0419921875,106631.6328125,{'runtime': 20876},999,0.5616,0.0,350,
oyzmsf2x,softmax,-1,1e-05,0.5,1000,20716,1643801494,0.5526,17785.09375,18605.609375,13717.3603515625,{'runtime': 20718},999,0.6108,0.0,350,
jh8xsred,softmax,-1,0.0001,0.5,1000,21084,1643801862,0.5388,18383.412109375,19218.779296875,10892.68359375,{'runtime': 21085},999,0.5847,0.0,350,
2jqyfnz3,softmax,-1,0.001,0.5,1000,16971,1643797644,0.54,17667.458984375,18404.04296875,14429.728515625,{'runtime': 16972},999,0.5924,0.0,350,
cv905nt1,softmax,-1,0.01,0.5,1000,17125,1643797770,0.5635,15380.6943359375,16118.1982421875,25857.236328125,{'runtime': 17126},999,0.6263,0.0,350,
czanxbcx,softmax,-1,0.1,0.5,1000,17141,1643797668,0.7849,10212.90625,10154.9736328125,69155.2890625,{'runtime': 17143},999,0.8146,0.0,350,
sc8ukuwe,softmax,-1,1.0,0.5,1000,17082,1643797507,0.6394,13239.916015625,13131.361328125,100010.921875,{'runtime': 17083},999,0.6851,0.0,350,
pl6r8lm9,softmax,-3,10.0,0.2,1000,17055,1643797470,0.4519,15668.4072265625,15477.66015625,96633.3046875,{'runtime': 17056},999,0.5327,0.0,350,
gz06lhy5,softmax,-3,3.0,0.2,1000,17221,1643797599,0.6577,10351.7744140625,10258.73828125,66093.5390625,{'runtime': 17223},999,0.7246,0.0,350,
2og4sj8o,softmax,-3,1e-05,0.2,1000,17107,1643797420,0.809,8269.7607421875,8432.3720703125,1589.06005859375,{'runtime': 17108},999,0.8345,0.0,350,
91z6hnsv,softmax,-3,0.0001,0.2,1000,17590,1643794670,0.8053,8273.5849609375,8643.7138671875,3198.2919921875,{'runtime': 17592},999,0.8356,0.0,350,
6iztmxrv,softmax,-3,0.001,0.2,1000,17202,1643794133,0.799,8458.158203125,8716.1591796875,3824.477294921875,{'runtime': 17203},999,0.8288,0.0,350,
t19vqiaj,softmax,-3,0.01,0.2,1000,17137,1643791795,0.8023,7801.525390625,8030.087890625,9345.7724609375,{'runtime': 17138},999,0.834,0.0,350,
b2fs3lzz,softmax,-3,0.1,0.2,1000,17156,1643790915,0.8543,5541.638671875,5578.513671875,39164.97265625,{'runtime': 17158},999,0.8802,0.0,350,
9yvob1b5,softmax,-3,1.0,0.2,1000,20846,1643794138,0.771,7793.9560546875,7734.36083984375,50856.51171875,{'runtime': 20847},999,0.8037,0.0,350,
jb0nsqqv,softmax,-2,10.0,0.2,1000,21027,1643782001,0.4662,15167.7568359375,15161.8671875,98838.75,{'runtime': 21028},999,0.5569,0.0,350,
0zoxwkmy,softmax,-2,3.0,0.2,1000,20899,1643781626,0.6609,10399.5224609375,10273.1259765625,86399.25,{'runtime': 20901},999,0.7192,0.0,350,
9dqpt7n1,softmax,-2,1e-05,0.2,1000,20813,1643781280,0.802,8442.443359375,8727.1728515625,1964.8992919921875,{'runtime': 20814},999,0.8288,0.0,350,
